area_type,availability,location,size,society,total_sqft,bath,balcony,price
0,80,252,16,1634,789,3,2,126
3,80,584,16,324,849,3,2,139
0,80,635,30,2688,1806,9,0,200
0,80,31,13,2688,468,2,1,67
3,80,1101,13,2688,239,2,0,53
0,80,216,13,826,2034,2,1,55
3,80,1252,13,2688,125,2,1,48
3,80,307,16,52,614,3,1,55
3,80,506,13,1690,295,2,2,46
3,80,606,13,480,2039,2,2,63.2
3,80,232,16,1157,577,2,3,70
2,80,814,17,2688,1386,3,0,250
3,80,670,16,822,554,3,0,89
3,26,837,13,2688,239,2,3,65
3,67,1222,0,1979,1790,1,0,34.78
3,80,1238,13,2688,119,2,3,61
3,80,443,16,2688,353,2,1,59.5
0,80,876,0,62,1728,1,0,26
3,80,889,13,603,358,2,2,80
2,80,269,17,2688,1861,4,1,68
2,80,91,1,2688,317,1,0,41
0,80,713,13,2541,170,2,1,75.2
2,80,166,1,2688,577,1,0,37.5
3,28,1252,16,1636,1179,4,1,128
3,80,1039,13,2688,458,2,2,62
3,80,1039,16,232,814,3,3,90
3,34,513,18,1863,1412,4,1,310
3,33,522,16,1040,223,2,1,63
3,28,664,13,1580,278,2,1,85
0,80,7,0,2688,1784,1,1,17
3,28,1267,16,2688,373,3,1,96
2,80,1138,14,2688,2021,2,0,55
3,80,108,13,2688,303,2,2,66.25
2,80,489,30,2688,239,6,3,280
3,40,267,0,2057,1835,1,1,54
3,80,223,13,2455,49,2,2,105
0,80,713,18,2688,1312,4,3,450
3,80,896,13,2431,119,2,1,70
2,79,365,31,99,578,,,46.8
2,80,175,19,2688,577,2,1,450
2,80,1084,19,2688,1727,5,2,56
0,80,422,13,736,25,2,1,56
2,80,466,1,2688,1953,1,0,26
0,80,866,16,2688,425,2,2,65
3,80,879,16,408,1112,3,3,170
3,80,972,13,2688,239,2,1,35
3,80,464,13,1155,200,2,2,75
3,80,175,13,1338,333,2,2,70
3,80,972,13,806,184,2,2,39.02
2,80,1216,24,2688,74,6,3,110
3,80,1159,16,2055,713,2,2,120
3,80,204,13,2688,48,2,2,35.77
2,80,1062,17,2688,331,4,0,75
0,80,604,13,2688,2085,2,1,45
2,80,424,22,2688,686,5,2,140
3,80,715,13,2688,84,2,1,42.79
0,80,972,16,2255,657,2,2,65
0,80,1245,13,1459,214,2,2,38
3,80,682,13,1402,1930,2,2,25
3,80,438,16,2688,3,2,1,65
2,80,77,19,2688,239,3,2,188
0,80,1165,26,2688,1911,7,2,400
0,80,62,16,2688,789,2,3,100
3,80,506,16,1689,921,3,,110
0,80,694,13,500,2025,2,1,30
3,80,1070,13,12,149,2,1,43.72
3,80,72,16,2602,454,2,2,58.17
3,80,1025,13,1743,329,2,1,69.85
3,80,664,16,935,526,3,3,56
2,80,553,17,2688,1208,4,2,325
3,80,773,0,2688,1902,1,1,35
3,80,972,16,806,666,3,3,53.56
3,80,1148,13,2432,135,2,1,50
2,80,688,19,2688,152,2,1,88
3,80,1190,13,1225,2094,2,2,36
3,28,485,13,2688,1859,1,1,19.9
2,26,848,17,2688,1784,3,1,83
2,80,1038,19,1672,1273,4,1,115
3,16,584,13,324,349,2,1,100
2,80,727,17,2688,1784,3,1,98
3,80,86,13,1840,1941,2,1,32.54
3,52,664,13,1530,1876,1,1,35
0,80,109,13,1695,542,1,1,142
0,80,1222,17,2688,3,3,0,140
3,80,1001,16,2688,365,2,2,58
3,80,58,16,2688,1210,3,2,185
2,80,272,19,1524,757,3,0,135
0,80,600,16,1739,941,2,3,235
2,80,805,17,186,239,3,1,90
3,80,382,16,2688,886,3,2,121
3,80,29,16,1558,1058,4,1,210
3,80,542,16,570,273,3,1,40
3,35,1148,13,296,2054,2,0,58.68
3,80,236,13,2467,2021,2,2,56
3,40,267,13,2057,415,2,1,91
3,80,638,0,287,1876,1,0,36
3,32,837,13,790,2097,2,0,35.175
3,80,928,13,2688,193,2,1,46.39
3,80,522,16,418,767,3,,99.27
1,80,737,13,415,55,2,2,55
2,80,542,19,2688,239,4,1,120
3,80,513,13,592,52,2,2,46
3,80,1165,16,2087,422,2,2,65
2,80,871,26,2688,686,7,1,104
3,27,1210,13,2688,273,2,2,47
2,80,1123,30,2688,577,6,1,80
3,80,1260,13,2688,158,2,2,40
0,80,223,19,2688,1258,4,1,150
1,80,1118,16,2688,789,3,3,120
3,80,396,16,1814,629,3,2,65
3,80,1267,13,759,468,2,2,100
3,80,382,13,1289,97,2,2,50
0,80,1176,13,1767,215,2,2,100
2,80,305,26,2688,1930,7,3,150
3,80,402,16,1967,884,3,2,150
3,27,506,13,1862,273,2,1,67.38
0,80,305,0,2688,2014,1,1,75
3,80,86,13,1840,13,2,1,39.59
3,80,1252,13,337,380,2,1,95
0,80,118,18,2688,553,2,1,50
3,28,722,16,2007,649,,,99.745
3,80,497,13,1890,134,2,2,51
2,26,930,14,2688,358,2,0,54
2,80,1187,22,2688,1784,3,1,86
3,27,417,13,1534,156,2,1,65.35
3,77,584,13,2188,532,2,1,100
2,80,75,17,2688,1208,3,2,290
3,31,194,16,1725,1288,4,1,135
3,80,1037,16,2248,1258,4,2,325
0,80,1033,13,2688,1814,1,1,35
3,80,536,13,2688,295,2,2,48.5
0,80,1095,13,765,2080,2,2,32
3,80,199,16,2688,779,3,2,100
0,80,1252,13,950,1904,2,1,35
3,80,208,13,2688,431,2,2,73
3,80,976,21,1669,1354,5,0,300
3,80,513,13,1217,494,2,1,99.39
3,80,1089,16,2688,657,3,3,68
3,80,268,13,1582,1979,1,1,32
3,80,72,16,625,662,2,2,110
3,80,1153,13,1635,489,2,2,104
3,80,1179,13,2688,62,2,1,42
3,80,522,13,729,79,2,1,42.6
0,80,1176,16,2688,404,3,0,90
3,80,1262,16,2688,696,3,2,92
0,27,419,13,2346,193,2,1,33.5
3,80,721,13,2334,109,2,2,44
3,80,918,13,1501,232,2,2,47
3,80,1261,16,171,536,3,1,61.5
3,32,86,0,513,1903,1,0,19.82
0,80,1028,13,1868,1943,2,1,38
0,80,1252,16,2688,957,3,1,75
3,80,139,13,1307,119,2,1,48
0,80,236,13,2688,415,2,1,79
3,80,107,16,2688,420,3,1,61
3,26,417,13,1534,156,2,1,65
2,80,921,14,2688,415,2,0,90
3,80,352,16,1113,1579,3,2,864
3,80,670,16,2688,570,3,2,82
3,80,74,13,1138,116,2,1,43.91
3,80,194,16,2688,959,2,1,170
3,80,400,16,1993,540,3,2,88
3,80,428,16,2688,1187,4,3,285
2,80,534,22,2688,686,5,3,140
3,80,1190,13,852,108,2,1,32
3,80,1261,13,909,215,2,3,42
3,40,664,13,1580,433,3,1,76.85
3,80,955,16,548,772,3,2,95
0,80,713,13,746,317,2,3,100
2,80,1252,17,429,1392,3,2,200
2,80,990,17,2688,392,4,1,140
2,80,783,14,2688,239,2,0,130
3,26,1252,13,1636,410,2,1,96.17
3,27,304,0,586,1814,1,0,13.86
3,46,1039,16,1037,522,,,98.94
3,80,72,16,341,921,3,2,140
2,80,428,22,2688,1187,2,0,423
3,80,417,13,719,1915,1,1,34
2,80,226,22,2688,1945,5,2,98
3,80,918,13,1501,232,2,2,46
3,29,1252,16,337,1575,5,,316
3,31,513,18,397,1629,4,2,365
2,26,733,1,2688,1945,1,0,52
3,80,964,16,1112,1149,3,1,195
3,80,1222,13,1726,417,2,2,68
3,80,1148,16,2199,1022,3,2,112
2,80,261,19,681,1599,5,1,280
0,80,678,13,1076,74,2,2,45
3,80,664,16,2163,491,2,1,59
3,80,972,13,806,235,2,2,51.15
0,28,417,16,2688,268,2,2,35.24
3,26,422,16,2082,681,3,2,75
3,80,194,13,767,317,2,3,75
3,80,513,13,2688,119,2,2,47
3,80,428,13,233,630,2,2,140
3,80,554,13,2688,215,2,3,52
2,28,417,19,964,1599,5,1,150
0,80,98,16,482,750,3,2,85
3,80,518,13,2688,344,2,1,60
2,80,98,19,2688,97,4,1,75
3,80,110,16,2175,931,3,2,119
3,80,972,13,806,490,2,2,48
0,1,1252,16,2688,480,3,2,43.71
3,80,972,16,1627,643,2,2,62.4
2,80,320,22,2688,119,4,3,150
3,47,1148,16,296,723,3,3,78
2,80,110,22,2443,1752,5,3,627
0,80,1252,16,2688,182,2,3,44
3,34,144,13,2688,119,2,,53
3,45,1261,16,2688,703,3,1,65
3,16,854,13,1673,461,2,1,99
3,40,584,16,396,882,3,1,120
3,80,181,16,2619,761,3,3,75
2,80,255,14,2688,1938,2,1,70
3,80,1188,21,2688,1019,4,1,103
0,80,529,26,2688,1784,7,3,89
3,44,513,16,1705,789,3,2,124
3,80,549,13,2582,300,2,1,69
0,80,643,13,1997,179,2,1,54
3,80,1118,13,847,119,2,2,40
3,80,1222,16,1726,608,3,2,115
2,80,1065,22,2688,1208,5,2,235
3,63,664,0,1530,1727,1,1,25
3,80,637,13,1778,119,2,3,58
3,16,1054,13,2688,145,2,2,37.5
3,52,658,16,2688,554,3,1,75
0,80,462,16,1054,1076,3,1,75
3,26,1008,16,2688,262,2,2,46.5
3,80,108,13,597,396,2,1,79
3,80,522,13,2688,415,2,3,49
2,80,715,19,2688,1784,4,1,81
3,80,506,13,1690,295,2,2,46
3,80,839,13,2688,128,2,2,49.73
2,80,907,17,2688,577,2,1,200
3,80,670,13,2424,239,2,2,50
3,32,987,13,2649,305,2,1,47.4
3,80,650,13,1626,2006,2,1,45
3,80,908,16,2434,468,2,3,67
3,80,976,16,360,884,3,3,260
3,80,515,16,2192,792,3,2,113
3,80,841,21,2688,1258,5,3,130
3,80,1190,16,2688,303,3,,71
3,80,606,13,481,2052,2,2,43
2,80,1296,1,2688,1676,1,1,31.7
3,80,277,13,1272,319,2,1,75
3,80,1261,13,1736,2037,2,2,48
3,80,914,16,1977,438,2,2,61.5
3,80,785,13,2080,256,2,3,55
3,80,705,16,2185,1204,4,2,260
2,29,1135,17,2688,577,2,0,85
3,80,470,13,2688,79,2,3,50
3,80,976,18,2688,1423,4,2,570
3,80,990,16,2688,594,3,3,65
2,40,1041,19,2688,884,4,,110
3,80,1148,16,1168,520,2,3,40.31
3,80,1179,16,669,358,2,1,55
0,80,1222,13,2688,2106,2,0,60
3,80,584,13,823,358,2,1,85
3,31,304,16,2386,222,2,2,30.22
2,80,230,22,2688,415,3,1,110
3,80,799,13,2688,57,2,3,60
3,29,1230,13,2688,248,2,2,42.18
3,80,311,13,2688,317,2,1,75
2,80,367,22,2688,380,5,2,199
3,80,1176,16,2688,577,2,2,125
3,34,269,16,2688,303,2,2,42.5
0,31,796,13,2688,238,2,2,50
3,80,522,13,1234,454,2,1,83.09
2,80,375,24,2688,270,5,3,250
3,80,745,13,1787,181,2,1,75
3,80,1039,16,57,1122,3,2,170
2,80,1138,28,2688,239,7,1,110
3,80,611,3,2688,243,12,,525
2,80,1160,22,963,239,5,0,195
3,80,549,16,1405,896,3,1,135
3,80,1245,13,2688,84,2,2,33
3,80,976,16,360,728,3,2,241
0,80,848,16,511,415,2,2,54.6
0,80,304,13,2688,1814,1,1,27
3,75,530,13,757,503,2,2,113
3,80,853,16,2688,1225,4,3,180
2,80,885,24,2688,577,7,3,220
3,80,1039,13,442,101,2,3,55
3,80,522,16,1040,223,2,1,56
0,80,688,13,2557,309,2,2,50
3,80,506,18,2234,1484,5,3,240
3,28,536,16,1215,620,3,1,69.84
3,80,559,18,643,1533,5,1,282
3,80,972,13,1378,353,2,2,70
2,80,670,17,2688,3,4,3,110
0,80,1034,16,292,1346,3,,285
3,80,72,16,2319,438,2,2,54.79
3,80,417,13,516,119,2,1,40
3,26,513,18,641,1688,6,2,510
3,80,976,13,360,438,2,1,170
3,80,72,16,2688,438,2,1,54.79
3,80,575,13,520,239,2,2,62
2,80,484,19,2688,1019,3,0,95
0,80,77,18,885,1507,4,,300
2,80,43,22,2688,239,4,3,240
2,80,688,19,2688,1208,5,2,253
3,80,1039,16,2688,268,3,2,62
0,80,661,17,2688,995,3,2,130
3,80,1089,13,1251,212,2,3,73
3,80,358,16,2428,345,3,2,61.44
3,80,232,13,575,193,2,2,42
3,80,606,13,480,2039,2,2,55
3,63,417,16,1048,646,3,2,91.84
3,35,469,13,2688,386,2,1,62.17
3,80,48,16,2688,415,2,2,140
3,16,513,18,397,1593,5,3,386
3,80,232,13,2688,292,2,2,39.06
3,80,637,13,940,385,2,2,50
3,80,1093,13,2672,119,2,1,44
3,80,352,16,1113,1579,3,2,800
3,80,461,16,1285,691,3,2,50
3,80,522,21,2688,1755,5,3,515
3,80,1089,13,2298,317,2,1,60
3,40,530,16,390,634,3,2,83.09
3,80,1252,13,266,339,2,2,52
3,80,513,16,174,630,2,2,75
3,80,142,16,2688,520,2,2,125
3,80,833,16,1513,630,3,2,74
3,80,422,16,1854,594,2,1,80.91
3,45,536,16,2155,396,2,1,86.12
3,80,417,16,336,740,3,2,70
3,80,515,16,2216,657,3,1,105
2,80,1039,19,57,1741,4,3,725
3,80,1049,0,517,1940,1,1,60
2,80,1054,17,2688,239,2,0,62
0,80,72,19,1688,1535,3,2,410
2,80,539,17,2688,239,3,2,175
3,80,575,18,2688,737,3,1,220
2,80,305,19,2688,1784,2,1,85
3,80,493,16,2517,1340,3,2,250
3,80,1039,16,2169,838,3,2,110
0,80,513,13,2688,66,2,1,48
3,63,664,16,1530,119,3,2,53
3,80,634,16,2295,752,3,3,70
2,80,901,19,1633,1609,4,3,345
2,80,786,19,2688,1748,5,1,1500
0,80,270,16,988,523,3,2,80
0,80,188,13,2232,22,2,1,75
3,80,785,16,1956,959,3,2,60
3,80,869,13,190,367,2,2,92.66
3,80,474,18,2688,1454,4,,230
3,80,535,0,2688,416,2,1,53
3,80,417,13,2688,3,2,2,22
2,80,572,19,2688,239,4,2,350
3,27,484,13,261,170,2,2,49.11
3,77,584,18,2188,1148,4,0,260.5
0,80,1179,16,2688,303,2,1,55
3,80,658,16,1866,349,3,3,45.15
3,80,110,13,2175,497,2,2,90
3,80,443,16,2688,380,2,2,60.6
0,80,98,16,482,750,3,2,85.5
3,80,1061,21,1034,1968,5,3,2700
3,80,232,13,575,239,2,2,45
0,80,713,16,962,1003,3,,210
3,80,443,16,2688,353,2,2,59.5
3,80,230,16,1485,863,3,2,100
3,26,635,16,2688,959,3,,108
3,19,118,16,2640,663,3,2,59.1
3,80,1091,13,2688,31,2,3,41
3,80,472,16,2688,1076,3,3,170
3,27,972,0,1591,1824,1,1,31.75
3,80,876,16,62,202,2,1,38
2,80,1246,26,2688,3,7,3,160
3,80,530,13,2688,268,2,2,50.89
3,80,707,16,1117,1187,5,1,327
3,80,1242,13,2688,316,2,1,67.4
0,80,466,19,2688,1019,4,2,82
3,80,74,16,2688,884,3,1,80
0,80,342,16,461,1012,3,2,160
3,80,215,16,2688,752,3,3,110
0,52,531,13,2688,284,2,1,61
3,80,837,16,2688,404,2,2,64.31
3,80,194,13,2688,205,2,2,46.79
0,80,422,13,2688,2112,2,0,46
3,80,895,13,2688,90,2,2,60
3,26,417,13,2688,39,2,1,54.5
3,80,964,16,1349,1317,3,2,113
3,80,1148,16,307,1019,3,2,99
3,80,1252,18,1999,1258,4,3,155
3,80,783,13,717,385,2,2,70
3,26,635,13,117,374,2,3,68.2
3,64,664,16,2688,1156,3,2,136
0,80,72,26,2688,1690,7,0,170
3,63,1261,13,2688,40,2,1,41
0,80,1129,16,2688,239,3,2,66
0,80,631,16,21,1136,4,2,65
3,37,626,13,1141,85,2,0,51.22
3,28,513,13,1217,494,2,1,99.39
3,80,1039,16,399,951,4,1,95
3,34,575,13,2068,358,2,1,90.87
3,34,976,13,1669,264,2,0,97.16
2,40,893,19,2688,1386,4,3,342
0,80,231,16,2688,642,3,2,63
3,80,509,13,1599,349,2,1,87
2,80,760,24,2688,1208,6,,245
0,32,1252,0,2688,2026,1,1,55
0,80,863,13,149,83,2,,55
3,39,1041,13,2688,1965,2,1,22.8
0,80,713,13,1616,959,2,1,200
0,80,380,22,2688,1405,5,1,140
0,80,1039,16,1159,358,3,2,60
3,80,306,13,2492,141,2,1,33.45
3,80,976,16,1509,1216,3,2,360
3,80,110,16,2175,1104,4,2,125
3,45,799,16,2491,364,2,1,69
3,52,664,13,777,306,2,1,56.32
2,80,539,22,2688,1208,5,,250
2,37,1252,14,2688,239,2,1,46.13
0,80,713,16,2688,838,3,1,130
3,80,419,13,238,1744,1,1,35
2,80,167,14,2688,444,2,1,105
3,80,1115,13,423,373,2,2,66.5
2,80,152,19,2688,1547,4,1,275
3,52,100,16,2688,783,3,2,108
3,80,574,13,24,193,2,1,41.75
2,80,1098,17,2688,239,3,0,200
3,80,1115,16,1293,309,2,2,79
2,80,626,19,2688,3,4,1,75
0,80,238,13,1523,2021,2,1,45
3,80,1262,16,405,789,3,2,90
1,80,563,16,782,941,3,1,180
1,80,1179,16,288,789,3,2,88
3,80,509,16,1599,837,3,2,115
2,80,358,14,2688,577,3,1,65
3,80,1188,13,2688,210,2,1,48
0,80,98,13,2688,339,2,1,60
0,80,85,13,1060,239,2,2,50
3,80,987,16,483,696,2,2,115
3,80,417,13,719,84,2,1,46
2,80,1138,14,2688,239,2,0,66
3,40,77,13,2688,155,2,1,50
0,80,563,13,2521,256,2,1,102
0,80,615,13,2688,1784,2,1,23
3,80,1153,18,1635,1623,4,3,380
3,80,1143,13,2061,430,2,2,70
3,80,1252,18,209,1158,3,0,146
3,80,951,16,2688,182,2,2,77.5
3,80,1167,13,2688,178,2,1,39.5
0,80,772,13,504,409,2,2,55
3,80,836,13,1102,134,2,2,41
0,80,688,13,2513,1909,2,1,36
0,80,826,13,1671,189,2,2,49.5
3,80,922,13,31,299,2,1,59.8
3,80,789,13,2688,72,2,2,60
3,80,638,13,287,2071,2,1,48
3,80,1196,13,2688,1624,2,0,35
2,80,174,19,2688,1784,2,2,90
3,67,1222,16,1979,599,2,1,103
3,80,799,13,2688,262,2,2,58.86
0,80,967,0,2688,2021,1,1,30
3,80,522,16,1987,1187,3,2,174
3,80,1148,13,2688,62,2,2,46
3,80,4,16,2233,758,3,2,150
2,80,739,22,2688,1340,5,2,125
3,80,763,16,2688,577,2,2,65
3,80,449,13,2688,468,2,2,65
2,34,1252,19,1636,1709,4,2,378
0,80,74,19,2688,1312,4,2,130
3,34,270,13,1887,2041,2,1,37.46
2,29,1039,17,409,239,3,2,70
0,80,275,16,1252,303,3,2,139
3,33,539,16,2161,895,4,,153
2,80,346,22,2688,1046,6,,375
3,80,494,13,1350,170,2,2,46
0,80,1261,19,2688,1643,4,1,450
3,80,506,13,1351,543,2,2,56
3,80,109,13,1695,547,3,2,130
3,80,422,16,1854,637,2,1,82
2,80,832,24,2688,239,4,2,110
0,80,1252,13,1851,182,2,0,55
3,48,634,13,2688,2088,2,1,35
3,34,194,18,2688,1258,4,3,95
3,80,1056,13,1294,201,2,1,53
2,80,708,17,1535,1332,3,1,317
3,80,417,16,1473,415,3,2,58
0,80,804,13,2688,2021,2,3,46
3,80,72,16,2688,358,2,2,52
0,80,655,16,2177,228,3,1,55
3,80,702,16,2394,572,2,2,75
0,80,563,13,1770,272,2,2,105
3,80,203,16,1259,415,2,2,68
0,80,474,13,1295,2060,2,1,56.8
3,80,972,13,612,119,2,1,55
3,80,639,13,2069,358,2,2,61
0,80,911,16,2688,557,2,0,145
3,80,530,13,2688,128,2,2,46.37
2,20,1039,17,254,1288,3,2,200
3,68,1261,16,797,596,3,2,76.3
0,80,534,24,2688,1568,8,0,200
3,80,589,16,2688,702,3,2,89.75
3,80,763,16,2688,577,3,2,65
3,80,837,16,2688,99,3,1,50.5
3,80,799,13,2594,431,2,2,73
3,80,417,13,918,3,2,3,25
3,80,292,13,1647,461,2,1,98
3,26,704,13,2688,103,2,1,33.66
3,80,522,16,418,672,3,3,93.94
0,80,518,13,2688,119,2,1,60
3,34,419,13,2346,79,2,1,30.75
2,80,1138,17,2688,577,2,1,120
0,80,72,16,625,662,2,2,120
3,80,522,16,2688,1003,3,3,123
3,80,880,13,2688,1959,2,2,24
3,80,478,16,1284,833,3,2,110
3,80,848,13,1894,271,2,1,60
3,80,121,16,2688,239,2,1,65
3,80,225,13,1418,239,2,0,90
3,40,267,0,2057,1846,1,1,46.08
3,80,249,13,689,416,2,2,70
3,28,513,16,1214,420,3,1,83.87
0,80,1053,16,2688,1584,3,2,300
3,35,1148,16,2688,674,3,1,75.55
1,80,114,13,2688,2021,2,1,60
2,80,254,17,2688,1651,3,0,50
0,29,509,19,2688,1481,4,,260
3,80,914,16,1977,438,2,2,75
2,28,1252,17,2688,577,3,1,71.8
3,80,942,16,2688,1163,3,,285
3,63,664,16,2688,119,3,2,53
0,80,530,13,64,299,2,0,53
3,40,403,16,2688,1019,3,2,200
3,31,188,13,2232,33,2,1,68.38
3,40,485,16,2688,46,2,2,32
0,80,160,16,1413,540,2,3,73
3,80,443,13,2688,182,2,2,52.8
3,80,1039,21,1189,1780,5,,385
3,80,181,13,2688,172,2,1,46
3,80,1261,18,1404,1345,6,0,125.5
2,80,384,19,2688,1625,4,3,325
3,31,536,16,2238,752,2,3,125
3,28,658,13,773,353,2,2,64
3,27,506,13,1862,278,2,1,78
3,80,116,16,2688,97,2,2,75
3,80,638,13,287,3,2,1,60
3,80,678,16,2688,1208,2,0,50
3,40,1252,0,794,1796,1,0,32.79
3,34,999,16,2688,797,3,2,75
3,80,1148,16,2199,786,3,2,115
3,80,1252,18,2416,1522,5,3,210
3,45,536,0,2155,1799,1,1,28.29
0,80,194,16,1359,415,2,0,83
3,80,664,16,2675,504,,,66.4
3,40,589,13,496,100,2,1,32.49
3,80,466,16,2341,540,2,2,65
3,80,181,13,2688,101,2,1,58
3,34,270,13,1887,48,2,1,41.43
3,80,1220,16,2688,1208,2,1,150
3,80,544,0,1826,1674,1,1,21
3,80,868,21,2688,2071,5,,90
3,80,1252,13,912,344,2,2,55.9
3,80,21,12,2688,1019,16,,490
2,80,1038,17,896,239,3,2,78
0,80,967,13,2321,84,2,1,35
3,80,515,16,2197,885,3,2,140
3,28,1252,16,1636,786,3,2,115
3,80,80,13,371,238,2,2,65
3,80,559,16,643,1172,3,1,220
3,80,837,16,2688,404,2,3,64.31
3,80,799,18,1660,1568,4,3,205
2,80,606,22,2688,1784,5,,50
3,80,1256,13,781,152,2,1,75
2,80,118,14,2688,239,2,1,67
0,80,1115,13,2328,62,2,3,41
0,80,848,13,956,2076,2,1,49
3,80,1038,13,2212,3,2,2,30
0,80,406,16,1655,682,3,0,95
2,80,730,24,2688,239,5,1,150
3,43,664,13,2167,354,2,3,89.06
2,80,842,24,2688,239,7,,170
0,80,300,16,2050,727,3,3,123
3,80,419,13,464,267,2,1,61.25
0,80,1179,16,2688,239,3,1,50
3,80,216,13,2688,266,2,1,73
3,80,887,13,2688,2041,2,3,37
3,80,1267,16,872,1278,3,2,141
3,73,41,0,2688,1727,1,1,26
3,29,216,16,533,500,2,2,48.51
3,26,715,16,2688,329,3,2,45
0,80,987,13,1904,2041,2,3,65
0,80,404,19,2688,1312,3,2,68
3,80,564,16,2688,829,3,2,199
0,80,990,16,2688,420,2,,40
3,80,757,16,2186,610,2,2,90
1,80,458,16,2688,441,2,1,90
3,80,879,18,2488,1190,5,2,120
3,80,799,18,1660,1582,4,3,220
3,56,584,16,2188,995,3,2,131
0,80,547,13,1456,2010,2,3,40
0,80,1261,13,2688,1784,2,2,27
2,80,727,22,2688,329,4,1,128
2,80,1222,14,2688,449,2,0,225
3,80,664,13,1652,403,2,2,62
3,80,1252,13,1850,158,2,1,36
0,80,1179,13,2688,102,2,2,43
0,80,1267,16,872,503,3,2,72
1,28,252,18,1785,530,4,1,121
3,80,988,21,1497,1806,5,,720
3,80,82,16,2688,567,2,1,59.6
0,80,1235,18,2688,737,4,0,99
3,80,236,13,2688,345,2,2,57
0,80,624,13,1934,2047,2,2,63
3,80,236,18,2221,1395,4,3,230
0,80,506,13,2688,3,2,2,44
3,80,1252,13,1891,262,2,2,39
2,80,656,19,2688,239,3,1,95
3,80,745,13,1653,400,2,2,100
3,80,1267,0,872,1858,1,1,36.85
2,80,118,14,2688,239,2,1,58
2,80,758,24,2688,1784,7,2,63
3,80,786,16,2688,686,3,3,160
2,80,784,14,2688,239,2,0,79
2,80,563,24,2688,1247,4,1,750
3,26,599,16,2688,1258,3,,270
2,80,365,22,2688,1208,5,3,100
3,80,1049,13,2688,174,2,2,65
3,80,664,13,935,550,2,2,61.74
2,80,756,19,2688,669,3,2,145
3,80,799,16,2594,871,3,2,94
3,80,713,16,2688,1168,3,2,286
3,80,716,16,2688,540,3,3,71
3,80,673,16,2688,577,2,3,80
2,80,1261,22,2688,239,4,1,140
0,80,1033,21,2688,1466,3,,250
3,80,326,13,2688,278,2,2,48
3,80,1262,0,992,1825,1,1,20
3,80,242,13,2688,557,2,,120
3,80,1148,13,1299,268,2,1,43.92
3,80,406,16,1655,657,3,1,115
0,80,1022,16,2688,1386,3,3,400
3,80,783,16,1661,752,3,2,86.91
2,80,191,17,2688,415,3,1,380
2,80,1039,19,57,1599,5,2,600
2,80,990,14,2688,119,2,0,68
3,80,675,16,1608,415,2,1,87.01
0,80,670,16,1982,807,3,2,116
3,80,278,0,1581,1844,1,1,35
3,28,1093,13,2144,21,2,1,50.53
0,80,102,24,2688,1208,6,0,130
3,80,226,16,2688,767,3,2,85
3,80,1267,13,2536,1882,2,0,49.475
2,80,1161,19,2688,1876,4,2,110
3,80,1252,16,2154,599,2,2,150
1,80,1179,16,2579,415,2,2,53
3,5,716,16,2208,849,3,,150
3,80,922,13,2110,2000,2,1,33
3,80,518,13,66,281,2,2,48
3,80,1089,13,46,209,2,3,74
0,80,832,16,559,643,3,3,75
3,80,491,13,2688,543,2,2,56
2,80,664,17,2688,1128,3,2,130
0,80,1074,13,2688,1979,2,2,55
0,80,1026,16,74,838,3,1,180
3,80,29,16,1327,1035,3,,157
2,80,815,14,2688,577,1,0,160
2,80,1303,24,2688,1076,6,,275
3,80,705,16,2185,1215,4,2,260
3,80,365,13,350,97,2,1,44
3,80,563,16,2688,1059,3,2,225
0,28,417,13,2688,31,2,1,29.46
3,80,232,16,575,577,2,3,55
2,80,775,19,2688,662,5,1,158
2,80,702,19,2688,1454,4,1,180
3,80,1179,13,2688,210,2,1,47
3,80,306,13,2492,43,2,1,34.5
3,31,513,13,1217,514,2,1,115
0,80,530,13,1844,577,2,1,84
2,80,1148,1,2688,449,1,1,62.1
0,80,185,13,833,239,2,3,50
0,80,1227,0,2688,1883,1,2,36.5
3,80,509,16,1599,1143,5,2,155
3,80,515,16,2216,670,3,1,103
3,80,902,16,166,404,3,3,77
3,80,473,16,1276,884,3,2,70
3,80,948,13,2688,239,2,3,45
3,35,1039,0,218,1865,1,1,40
3,80,643,13,2241,2047,2,3,42
3,80,350,13,28,278,2,2,57
2,80,792,22,2688,239,5,1,185
3,80,702,13,43,152,2,1,52
3,80,513,13,2688,119,2,1,54
2,27,606,17,1590,1208,3,2,149
3,31,419,16,2346,468,2,2,41.58
2,80,1179,26,2688,239,7,2,225
3,80,584,16,396,927,3,1,98.3
2,80,91,1,2688,317,1,1,41
0,80,110,18,2175,1519,4,2,290
3,80,494,13,2688,222,2,2,60
2,80,954,14,2688,239,2,1,216
3,80,518,13,2688,309,2,1,58
3,80,976,18,2688,1494,6,3,475
0,80,722,16,339,399,3,2,89
3,80,382,16,2688,1016,3,2,132
2,80,655,14,2688,239,2,1,125
3,80,731,16,593,466,3,2,110
2,80,606,4,1205,239,10,,105
3,80,346,18,2688,1590,4,,450
2,80,1262,14,992,239,2,1,130
2,80,317,17,2688,703,3,0,95
2,80,203,28,2688,239,7,2,350
0,80,505,19,2688,329,2,1,175
3,80,972,13,806,170,2,2,38.55
3,65,664,0,1530,1727,1,1,30
2,80,1190,17,2688,239,2,1,98
0,80,184,1,2688,1876,1,1,162
3,31,188,13,2232,249,2,1,81
2,80,1131,17,2688,239,3,2,130
