Q1-Location,Q2-Price,Q3-Rooms,Q4-Other rooms,Q5-Bathrooms,Q6-Car Parks,Q7-Property Type,Q8-Furnishing,Q9-Size
19,333000,2,,2,1,1,,650
21,550000,3,,2,2,14,1,1260
2,1206600,3,1,3,2,11,2,1356
19,750000,3,,2,1,14,3,1096
23,1780000,2,1,3,,1,,1442
20,4256840,4,1,6,2,1,2,3283
23,5000000,3,1,4,,1,,4130
23,2600000,3,1,4,,1,2,2250
15,460000,3,,2,1,11,2,1050
19,630000,3,,3,2,3,2,1087
1,2800000,4,1,5,,1,2,2343
21,380000,3,1,2,1,3,3,1211
63,192000,3,,2,1,25,2,720
9,410000,1,,1,1,1,1,689
9,520000,2,,1,,1,4,925
9,580000,2,,1,1,1,1,925
9,590000,2,,2,1,1,1,950
4,430000,3,,2,,12,3,905
47,890000,3,1,4,2,11,1,1700
9,600000,2,,1,1,1,1,925
9,435000,1,,1,1,1,1,613
9,420000,1,,1,1,1,1,689
1,1000000,2,,1,1,1,1,1141
9,2500,2,,2,1,1,1,950
1,1050000,2,,2,2,1,1,1141
9,750000,3,,2,1,1,1,1378
1,750000,1,,1,1,1,1,603
33,530000,2,,1,1,1,1,1080
50,335000,3,,2,1,25,1,885
27,960000,3,1,3,2,3,2,1948
27,790000,3,1,3,2,12,2,1690
5,920000,3,1,3,2,11,2,1335
14,655000,3,,2,2,11,2,948
5,5800000,5,1,7,4,7,2,7950
12,2250000,4,,4,2,23,1,1442
14,1980000,4,,3,,7,2,5837
2,4800000,5,1,4,,7,2,7600
58,688000,3,,2,1,10,1,1100
23,1600000,1,,2,1,10,1,1130
7,550000,2,,2,1,11,2,667
14,1053000,3,1,4,2,11,2,1691
14,812000,3,1,4,2,11,2,1250
7,898380,3,,2,2,11,2,1087
7,707000,2,,2,1,11,2,829
37,3600000,6,1,6,,9,2,4900
21,420000,,,,,1,,
14,933000,2,1,3,2,12,2,1523
43,561100,3,1,4,,36,4,1879
4,580000,3,,3,,17,2,1170
4,420000,2,,2,1,11,,900
5,930000,4,1,3,2,11,2,1513
3,520000,3,,2,2,11,2,1100
14,398000,3,,2,2,10,3,950
8,545000,3,,2,2,10,1,980
19,350000,2,,2,,1,,646
22,4900000,5,1,3,4,7,2,6609
33,2200000,5,1,6,2,58,2,5403
19,414600,3,,2,2,1,,850
33,1350000,4,,4,,8,1,3600
4,535800,3,1,2,2,12,2,1000
2,4498000,5,1,7,,2,3,3000
27,560000,3,,2,2,11,2,986
27,600000,3,,2,2,11,2,986
8,380000,2,,1,1,17,2,770
12,2150000,3,1,4,,6,1,2530
4,748000,4,1,3,2,6,2,1650
30,620000,3,,2,2,11,2,1019
11,800000,2,,2,1,14,1,861
1,2880000,4,1,5,2,14,1,3383
17,1180000,3,1,3,1,12,1,1492
5,1123000000,5,1,4,4,11,,1930
5,950000,4,,3,2,4,,2660
22,2350000,4,1,4,,11,2,3509
22,1900000,3,1,6,,11,2,2745
22,1450000,3,1,4,,11,2,1905
30,630000,3,1,3,2,11,2,1577
30,834000,4,,4,3,11,2,1614
22,2430000,5,1,5,3,11,2,3046
27,280000,3,,2,,67,2,721
30,780000,3,1,3,2,11,2,1391
5,390000,3,,2,1,12,,1091
22,4275000,3,1,5,3,3,2,3239
22,7100000,4,,6,3,3,2,4300
22,5115000,3,1,5,3,3,2,3300
22,10680000,5,1,7,5,3,2,6913
22,7700000,4,1,6,3,3,2,4771
22,6450000,3,1,5,3,3,2,4025
22,7400000,4,1,6,3,3,2,4945
22,10800000,5,1,7,5,3,2,6913
22,7500000,4,1,6,3,3,2,4771
22,7380000,4,1,6,4,3,2,4945
26,490000,3,,2,3,10,2,1137
30,205000,3,,2,,59,2,955
6,1680000,2,1,3,2,1,,1444
26,200000,3,,2,,5,2,650
1,1182000,3,,2,,12,2,1182
2,1150000,3,1,4,,14,1,1480
2,1250000,2,1,2,1,10,2,1203
2,1250000,3,1,4,,14,2,1480
2,900000,1,1,1,1,14,2,828
3,1000000,3,1,3,2,3,1,1710
2,2400000,4,1,4,3,14,1,2700
2,1400000,3,1,4,2,14,2,1573
30,800000,4,,3,2,11,2,1893
30,740000,4,,3,2,11,2,1893
4,480000,4,,3,2,6,3,1300
30,780000,3,1,3,2,11,2,1295
30,1380000,3,1,4,2,11,2,1856
30,880000,3,,2,2,11,2,1319
3,1230000,3,2,4,3,11,1,1991
3,926228,3,1,4,2,11,2,1719
30,750000,3,1,3,2,11,2,1391
3,1130000,3,1,4,3,11,2,1799
30,906000,4,1,4,3,11,2,1611
30,730000,3,1,3,2,11,2,1391
26,1300000,6,,5,3,32,3,1650
43,430000,2,,1,1,11,1,698
43,420000,2,,2,,11,,840
30,750000,3,1,3,2,11,2,1298
3,470000,3,,2,1,11,2,1200
30,1150000,3,1,4,2,11,2,1788
30,679000,2,,2,1,11,2,990
30,777990,3,1,3,2,11,2,1496
30,520000,2,,2,1,1,,713
4,1000000,4,1,4,1,3,2,1675
8,1400000,5,,3,,18,,3200
15,448000,2,1,2,2,14,,957
16,350000,3,,3,2,14,1,1045
45,880000,2,,2,,1,1,838
16,520000,3,,2,2,11,1,
8,295000,3,,2,2,25,2,950
8,860000,4,,4,3,3,2,1819
16,660000,2,1,2,2,10,2,1025
5,1180000,3,,3,2,3,2,1506
14,650000,2,,2,2,3,2,900
14,650000,3,,2,2,3,2,1358
5,980000,4,1,4,2,3,2,1513
5,1350000,3,1,3,2,3,1,1700
14,738000,4,,2,2,12,2,1073
5,920000,4,1,3,2,11,2,1513
16,650000,3,,2,3,10,2,1025
5,2180000,4,,5,3,11,1,2253
39,835000,1,,1,1,11,3,700
16,730000,3,,3,2,14,2,1135
16,750000,3,,3,2,14,2,1135
16,660000,2,1,2,2,10,1,1025
16,810000,3,,3,,14,2,1430
16,499000,1,,1,1,10,2,750
16,618000,2,1,2,2,10,2,1025
5,2600000,5,,6,,35,1,4344
5,1318000,3,1,3,2,3,1,1700
5,2080000,4,1,6,3,12,2,2733
5,1250000,3,1,3,,3,2,1420
5,2480000,5,,6,,35,1,4344
14,598000,3,,2,1,10,2,852
5,1500000,3,1,3,2,3,2,1700
14,679000,3,,2,2,12,2,935
16,660000,2,1,2,3,10,2,1025
14,750000,3,,2,2,3,2,1305
5,2990000,4,2,6,,3,2,4598
4,390000,3,,2,2,3,1,920
16,630000,2,1,2,2,10,2,1025
5,1100000,3,,2,2,14,2,1254
16,810000,2,,2,2,14,2,1259
16,790000,2,,2,2,14,2,1317
5,1050000,3,,3,2,16,2,1521
5,848000,2,1,2,2,10,2,1025
5,1680000,4,1,3,3,1,2,2158
5,900000,3,,2,2,1,2,1170
5,780000,1,,1,1,38,2,1125
5,780000,1,,1,1,38,2,1110
5,945000,3,,2,2,1,2,1170
5,1100000,3,,3,2,16,2,1521
5,1050000,3,,2,2,1,1,1170
5,1010000,3,,2,2,14,1,1170
8,880000,4,,4,3,3,3,1851
5,1160000,3,1,2,2,3,2,1420
17,220000,2,,1,,48,2,678
11,1793400,4,1,4,2,12,2,1830
17,780000,1,,1,1,1,1,732
14,698000,3,1,3,2,1,2,1227
5,825000,3,,2,2,14,3,971
5,823000,3,,2,2,14,3,969
5,726000,2,,2,2,14,3,855
5,672000,2,,2,2,10,3,791
5,622000,2,,1,1,14,3,732
5,566000,2,,1,1,10,3,667
5,1180000,4,1,4,2,11,2,1772
5,1350000,5,1,4,4,11,2,1930
22,7912000,5,,6,3,3,2,4945
5,2600000,5,,6,3,3,2,3260
22,11060800,5,,6,6,3,2,6913
22,9631875,5,,6,3,3,2,5137
22,7300000,4,,5,3,3,2,4025
39,1380000,2,,2,1,3,3,1076
14,740000,2,2,2,2,3,2,1105
5,1550000,4,,4,3,3,1,2021
5,1450000,4,,4,3,3,2,1878
14,920000,4,1,2,2,3,2,1256
14,750000,4,,2,2,3,2,1092
14,900000,4,1,2,2,3,2,1205
5,1100000,3,1,3,2,12,2,1409
14,345000,3,,2,1,5,2,945
14,1080000,3,1,4,2,12,3,1875
14,988000,2,1,3,2,12,2,1523
14,1150000,3,1,4,2,12,3,1875
14,1400000,3,2,4,3,3,2,2128
16,448000,3,,3,,1,4,
16,520000,3,,2,2,11,2,935
14,490000,3,,2,1,12,,1200
4,,3,,2,1,25,2,850
5,955000,4,,3,2,11,,1513
4,268000,3,,2,1,25,,780
19,635000,3,,3,2,11,2,1100
30,730000,3,1,3,2,11,2,1897
30,650000,3,,3,2,11,2,1577
19,640000,1,1,2,1,11,1,1100
5,800000,3,,2,2,1,2,1170
5,990000,3,,2,2,1,2,1254
5,848000,2,,2,2,1,2,1025
5,630000,1,1,1,1,1,1,721
5,945000,3,,2,2,1,2,1170
30,1130000,3,1,4,2,11,2,1788
30,1250000,3,1,4,2,11,2,1788
32,850000,3,1,3,2,11,1,1647
5,740000,2,,2,1,1,2,920
30,850000,3,,2,2,11,2,1319
30,1200000,3,1,4,2,11,2,1856
5,1100000,3,,3,2,1,2,1301
5,1130000,3,,3,2,16,2,1521
5,1130000,3,,3,2,16,2,1521
30,930000,3,,2,2,11,2,1319
15,470000,3,,2,1,11,2,1100
1,838000,1,,2,1,1,1,753
8,488000,3,,2,1,3,2,1129
4,1300000,4,1,4,3,11,,2059
19,800000,,,,,11,,1381
30,650000,3,,2,2,11,1,1019
49,828000,4,,2,,45,,2597
11,2295000,4,1,5,3,3,2,2767
11,2430000,4,2,6,3,3,,2906
1,6900000,5,2,6,4,36,2,6360
43,561100,3,1,3,,11,2,1879
22,3200000,6,1,4,2,3,2,3200
6,5350000,,,,,2,2,7200
9,545000,3,,2,,12,2,1420
4,505000,3,,2,,12,2,1098
14,320000,3,,2,,5,2,960
32,430000,3,,2,1,12,2,1100
2,2530000,3,1,1,1,1,,2077
2,1650000,1,1,1,1,1,,1194
2,1485000,1,,1,1,1,,904
1,8070000,4,,2,4,22,2,2960
1,3897000,3,1,4,,10,2,3897
9,6000000,4,1,5,2,3,1,3823
51,3300000,4,1,5,2,37,2,4000
14,370000,3,,2,,12,2,1300
10,3000000,4,1,4,,11,2,3133
3,1350000,4,1,4,,11,2,2070
3,1250000,3,1,4,,11,2,1799
11,720000,3,1,2,,11,,1399
5,700000,3,1,2,2,11,2,1236
22,2200000,4,1,3,,17,2,1960
3,1015700,3,,3,,12,2,1451
3,1350000,4,1,4,,3,2,2070
16,348000,2,,2,1,38,4,
22,9500000,4,1,5,,11,1,4771
46,760000,2,,2,2,14,,1087
14,510300,3,,2,,11,2,1335
14,510300,3,,2,,11,2,1335
21,470000,4,,3,,14,2,1092
33,990000,5,,4,6,6,2,3000
14,1350000,3,2,4,3,12,1,2128
36,1200000,4,,3,2,6,2,1400
4,890000,2,,2,2,1,2,850
8,320000,3,,2,2,12,1,850
33,375000,,,1,1,1,1,
22,4500000,5,,5,3,4,1,1760
2,1250000,1,1,1,1,1,1,1186
3,1050000,3,,3,2,11,1,1450
3,800000,3,1,3,1,11,1,1600
3,1200000,4,1,4,3,11,2,2070
4,672300,3,,2,,1,2,1272
5,530000,3,,3,2,11,3,1003
11,2000000,5,1,6,,11,1,4000
11,1150000,3,1,3,,11,2,1998
11,1380000,3,1,3,,11,2,1839
11,2090000,4,1,4,,11,2,3314
11,1650000,4,1,3,,11,2,2456
11,1380000,3,1,3,,11,1,2002
11,1300000,3,1,3,,11,1,
11,830000,3,,2,1,3,2,1400
11,1450000,3,1,4,,11,1,1900
11,1720000,4,1,4,,11,1,2500
15,480000,3,,2,2,11,2,1100
11,930000,,,,,1,,892
34,500000,1,,1,1,1,1,450
11,1170000,2,1,2,1,1,1,926
5,855000,4,1,3,,11,4,1513
5,680000,3,,2,3,11,1,1212
11,700000,3,,2,2,3,3,1015
4,,3,,3,2,1,,953
43,561100,3,1,4,,36,4,1879
22,4877550,3,1,4,2,12,2,3613
47,5500000,9,,8,4,52,2,
4,350000,3,,2,1,12,3,926
34,510000,1,,1,1,1,1,450
16,570000,4,,2,2,12,2,1109
16,520000,3,,2,2,12,2,
21,218000,3,,2,1,11,,805
21,460000,4,,3,,17,,880
19,530000,3,,2,2,11,,1062
19,370000,3,,2,1,25,2,1016
32,450000,3,,2,3,11,,1150
21,355000,3,,2,1,11,,1200
21,165000,3,,1,,62,,700
15,1000,3,,2,1,11,,1200
15,1200,3,,2,1,25,,1100
21,330000,3,,2,1,25,,862
26,455000,3,,2,2,25,,1081
19,370000,3,,2,,25,,1061
21,460000,3,,2,2,11,4,1280
32,210000,2,,1,,62,,550
4,150000,3,,1,,62,,700
4,750000,2,1,2,2,14,2,1127
26,3400000,7,1,6,6,7,1,5566
33,830000,2,,2,2,10,2,953
15,500000,4,,3,,31,2,1336
11,4200000,5,2,5,,4,2,
5,400000,3,,2,1,25,,957
11,780000,3,,2,,11,1,1399
11,850000,3,1,2,1,11,1,1550
1,2200000,3,,2,2,11,1,1798
1,2196000,3,,2,2,11,1,1518
1,2260000,3,,2,2,11,1,1518
1,1900000,2,,2,2,11,2,1518
1,2210000,2,,2,2,11,1,1464
11,980000,3,1,4,2,12,1,1828
11,1300000,4,,4,,3,1,2208
11,1300000,3,1,4,,3,1,3640
11,1150000,4,,4,,3,1,2208
11,1450000,3,1,5,2,11,2,3200
11,2000000,4,1,5,3,3,1,4650
33,3100000,7,,5,,2,2,6000
1,1480000,2,,2,2,11,1,871
33,1100000,3,,2,3,1,,1211
4,539000,3,,2,2,3,3,990
43,561100,3,1,3,,11,2,1879
24,1450000,3,,2,,1,1,1555
7,4800000,4,1,6,,2,2,7900
29,630000,3,,2,1,11,2,1240
7,690000,3,,2,1,11,2,1350
33,1900000,3,1,4,3,1,1,1920
20,3000000,1,,2,1,1,2,1541
47,520000,3,,2,1,3,2,1180
11,930000,3,,2,1,11,1,1241
2,1200000,1,,1,1,1,1,1186
31,525000,3,,2,1,11,2,1130
14,725000,4,,2,,26,3,1760
11,3000000,3,1,4,,11,3,3317
34,4700000,4,1,6,2,2,1,5500
4,950000,5,,4,,58,3,3081
1,658000,1,,1,1,12,1,918
22,1050000,2,,2,1,11,1,1250
13,600000,1,,1,,1,2,638
22,1400000,3,,2,1,11,,1700
22,650000,1,1,1,1,11,1,624
22,1450000,3,,2,1,11,,1704
11,1340000,3,1,3,2,12,2,1668
11,1450000,3,1,3,2,3,1,2163
1,1580000,2,,2,,14,1,
23,698000,3,1,3,2,11,1,1500
21,398000,2,,1,2,14,,682
33,1100000,3,,2,2,14,1,1230
19,848000,4,,3,2,12,2,1381
21,340000,3,,2,1,12,2,911
21,415000,3,,2,1,12,2,1272
32,650000,3,,2,1,12,2,1246
3,1080000,1,1,2,1,12,2,
21,515000,4,,2,2,12,2,1313
21,530000,3,,2,1,12,2,1313
21,420000,3,,2,1,12,3,1231
21,500000,3,,2,2,12,2,1333
33,1400000,3,1,3,2,12,2,2109
32,510000,3,,2,1,12,2,1267
17,530000,3,,2,1,11,1,1105
21,530000,4,,2,1,12,2,1313
21,500000,3,1,2,2,12,3,1333
4,400000,3,,2,1,12,2,926
4,400000,3,,2,1,13,2,947
21,495000,3,,2,1,12,2,1102
19,595000,3,,2,1,12,2,1115
20,2100000,4,1,4,2,11,1,2886
19,2800,3,1,4,2,12,2,1500
21,500000,4,,2,1,12,2,1313
18,3950000,4,1,5,,30,3,4300
21,520000,4,,2,2,12,3,1313
21,500000,4,,2,2,12,3,1313
17,530000,2,1,2,1,12,2,1073
21,600000,3,,2,2,12,2,1098
32,420000,3,,2,1,12,2,1267
32,465000,3,,2,1,12,2,1267
21,390000,3,,2,1,12,2,903
17,638000,3,,3,1,11,1,1378
19,500000,3,,2,1,12,3,948
4,400000,3,,2,1,12,2,947
19,680000,3,,2,2,12,2,1345
21,545000,4,,2,2,12,2,1313
21,560000,3,,2,2,12,2,1600
21,700000,3,,2,2,12,2,1389
17,588000,3,1,2,1,12,1,1192
19,580000,3,,2,1,12,1,1087
33,1400000,3,1,3,,12,2,2109
21,520000,4,,2,2,12,2,1313
19,450000,3,,2,2,12,2,1181
19,680000,3,1,3,2,12,2,1345
31,480000,3,,2,1,12,2,1092
21,580000,3,,2,2,12,2,1600
21,335000,3,,2,1,12,2,930
21,380000,3,,2,1,12,2,930
32,445000,3,1,3,1,12,2,1267
21,430000,4,,2,2,12,2,1272
21,400000,3,,2,1,12,2,1173
21,430000,3,,2,1,12,2,1207
4,400000,3,,2,1,12,2,927
21,580000,2,1,2,2,12,2,1098
33,1476300,3,1,4,,12,2,2109
19,680000,3,,2,2,12,1,1345
19,435000,3,,2,1,12,2,1223
32,480000,3,,2,2,11,2,1150
32,465000,3,,2,1,12,2,1150
3,1120000,1,1,2,,11,2,1053
19,430000,3,,2,1,12,2,1291
21,400000,3,,2,1,12,2,1023
32,470000,3,,2,2,12,2,1150
21,470000,3,,2,2,12,2,1280
21,420000,3,,2,1,12,2,1231
18,2300000,4,1,3,,30,2,7230
21,505000,3,,2,1,12,2,1104
21,340000,3,,2,1,12,2,940
4,2200000,5,1,4,3,2,2,6300
11,4060000,4,1,5,4,40,2,1389
1,1580000,2,2,3,1,11,1,2200
18,3600000,7,1,8,5,7,3,4400
20,2400000,3,1,5,2,1,3,1744
29,2100000,4,,4,3,21,2,4570
1,5500000,5,1,5,3,1,,5338
3,490000,3,,2,2,11,2,
17,1200000,2,,2,,1,1,866
11,4500000,5,,5,,4,1,4000
11,2600000,3,1,5,3,11,2,2691
5,750000,3,1,2,2,11,3,1300
11,2320000,4,1,5,2,11,2,2906
11,1890000,3,1,4,2,11,2,2347
27,520000,3,,2,2,11,2,986
32,710000,3,,2,,11,,1085
11,2150000,3,1,4,3,3,2,2707
11,3280000,4,1,4,3,3,2,3729
11,2660000,4,1,4,3,3,2,3317
11,880000,3,,2,1,11,1,1238
26,650000,3,,2,4,26,2,1500
26,580000,3,,2,,26,2,1430
11,3227840,4,1,5,3,3,2,3668
11,3180000,4,1,5,3,3,2,3668
11,3050000,4,1,5,3,3,2,3704
11,3148400,4,1,5,3,3,2,3704
22,1020000,3,,2,1,11,,1550
14,690000,4,,4,2,11,1,1495
1,630000,1,,1,,1,1,639
33,1870000,3,1,5,3,1,1,1920
5,670000,3,,2,2,11,2,1234
1,650000,1,,1,,1,1,639
11,4250000,5,1,6,,8,2,4750
10,2100000,4,,5,,3,1,2271
10,1600000,4,,5,,3,1,1755
11,1150000,3,,3,2,14,1,1650
11,980000,3,1,3,2,11,1,1679
11,850000,3,,3,2,12,1,1250
58,164000000,,,,,33,,41979
26,1280000,5,1,6,,32,2,3300
6,850000,2,,2,1,1,1,795
3,1350000,4,,4,3,3,3,2400
12,3500000,3,1,4,,18,2,4607
1,2038400,1,,1,1,1,1,728
1,2340050,2,,2,1,14,1,1006
1,1750000,1,,1,1,10,1,710
1,2725550,2,,2,1,14,1,1114
1,2680000,2,,2,1,10,1,1114
1,2534700,2,,2,1,10,1,1103
1,3822300,3,,3,2,1,1,1560
1,1550000,3,,3,,10,2,1387
1,1150000,2,,2,1,14,2,1031
17,1500000,3,,3,,10,2,1582
1,825000,1,,1,,14,2,753
1,1500000,3,,3,,14,3,1387
17,800000,1,1,1,,10,2,732
1,1450000,3,,3,,10,2,1387
1,850000,1,,1,1,14,1,761
17,780000,1,,1,,10,2,732
17,810000,1,,1,,10,3,732
17,1300000,3,,3,,10,3,1281
17,1400000,3,,3,,14,1,1453
17,1600000,3,,3,,14,1,1582
17,750000,1,,1,,10,2,732
17,1300000,3,,3,,10,2,1281
1,1450000,2,,2,1,10,1,1050
1,1500000,2,,2,1,10,1,1050
1,1350000,2,,2,1,1,1,1070
1,1250000,1,1,2,1,1,1,910
1,1650000,1,1,1,1,10,1,1080
1,2048490,2,1,2,2,14,1,1325
1,2279340,2,1,3,2,10,1,1490
1,1854000,1,1,1,1,1,1,1030
12,3500000,4,1,5,2,18,2,3200
12,3350000,4,1,5,4,18,2,3703
12,3500000,4,1,5,2,18,2,3810
12,1550000,3,1,3,1,15,2,0
12,6200000,6,1,8,4,41,1,0
12,2050000,3,,3,2,3,2,0
1,1605420,1,1,1,1,1,1,1035
1,2052540,2,1,2,1,1,1,1325
1,1734210,1,1,1,1,1,1,1110
1,1944000,1,1,2,1,1,1,1080
12,2200000,3,1,4,2,3,2,1808
12,1480000,2,1,3,2,12,2,1367
12,3600000,5,1,5,5,41,2,2174
12,1450000,2,1,3,2,12,2,1367
1,4500000,3,1,3,2,10,2,2195
12,1650000,3,1,3,2,15,2,0
12,1600000,3,,3,2,15,2,1912
12,2600000,4,1,4,2,18,2,3000
12,1290000,2,,1,2,12,2,1152
12,1150000,2,,1,2,12,2,1034
12,2800000,,,,,21,,2541
12,2870000,3,1,5,3,18,2,0
12,3100000,3,1,5,3,18,2,0
12,2740000,5,1,6,3,15,2,2959
12,2300000,3,2,3,2,6,2,2541
12,2000000,3,1,3,2,18,2,1916
12,2450000,5,1,6,3,15,2,2959
12,3570000,3,1,4,3,18,2,5168
12,2300000,4,1,4,2,23,2,0
12,3550000,4,1,5,2,18,2,4607
12,1600000,3,1,3,2,15,2,0
12,2250000,4,1,4,2,23,2,0
12,1550000,3,1,3,2,15,2,0
12,1150000,3,,3,2,3,1,0
12,1400000,3,1,3,2,3,1,0
12,1430000,3,1,3,2,3,1,0
12,1590000,2,2,3,4,3,3,0
31,620000,3,,3,,21,,0
33,2100,2,,2,1,1,2,856
14,1400000,4,1,4,3,12,3,2378
33,1300000,3,,2,3,11,1,1735
21,360000,2,,1,2,1,,631
2,1109760,1,,1,,10,1,1088
1,3400000,3,,2,1,10,2,1668
2,1659240,2,,3,,10,1,1676
22,950000,1,,2,1,11,2,1066
29,295000,3,,2,1,12,2,750
11,780000,3,1,2,,11,1,1399
26,650000,3,,2,2,1,1,1239
22,799999,2,1,2,2,11,,1200
19,600000,3,,2,1,11,1,1079
19,660000,3,,2,2,11,2,1079
1,2300000,2,,2,1,14,1,1100
14,490000,2,1,2,1,10,1,850
3,498000,3,,2,1,13,1,1100
14,470000,2,1,2,1,10,1,850
14,730000,3,,2,2,3,2,992
14,730000,3,,2,2,3,2,992
59,280000,3,,2,1,59,2,895
59,295000,3,,2,1,59,2,895
59,295000,3,,2,1,59,2,895
59,295000,3,,2,1,59,2,895
59,265000,3,,2,1,59,2,895
14,570000,2,,2,1,1,2,852
14,680000,3,1,2,2,1,1,1094
21,535000,4,2,2,2,3,2,1473
17,6500000,5,1,5,,2,2,10670
22,3400000,5,1,5,,15,2,1920
7,3190000,4,1,5,,4,2,3660
7,3190000,4,1,5,,4,2,3660
11,1933000,3,1,4,3,11,1,2648
29,650000,3,,2,2,11,,1110
2,9300000,5,,6,,2,2,8365
22,3400000,5,1,5,,15,2,1920
2,1530000,4,,3,,17,2,1628
45,3500,3,1,2,,11,1,1550
7,2800000,5,1,4,,2,2,5740
20,2050000,4,1,5,2,11,1,2886
17,2950,1,,1,1,11,1,775
1,1350000,2,,2,1,11,1,1356
14,700000,3,,2,,1,2,900
16,560000,3,,2,1,11,,1152
4,500000,4,,2,,11,2,1142
43,735000,4,,2,3,11,2,1271
24,2200000,3,1,3,2,11,2,
2,10500000,5,1,5,3,2,2,7440
14,430000,1,,2,1,1,2,775
1,2100000,3,,3,2,1,1,2098
32,740000,3,1,3,2,3,2,1647
11,780000,3,,2,,11,1,1399
5,400000,3,,2,1,5,2,1098
5,740000,3,,2,3,3,1,1212
5,645000,3,1,3,3,12,1,1410
16,660000,2,1,2,2,10,2,1045
14,650000,3,1,2,2,10,3,1094
14,898000,4,,4,2,12,1,1663
16,680000,2,1,2,2,10,1,1025
27,250000,3,,2,,62,2,800
11,4700000,4,,3,3,12,1,4723
16,850000,3,,3,2,14,1,1430
1,4800000,4,1,6,2,10,1,3300
17,580000,3,1,3,,31,3,1654
16,2200000,6,,5,,8,1,4000
21,455000,3,,2,3,3,,1100
29,620000,3,,2,1,10,2,945
18,3880000,6,1,7,6,9,2,10613
4,290000,3,,2,1,25,3,780
1,1530000,1,,1,2,14,2,925
46,1040000,2,1,2,2,14,2,1410
11,2380000,4,1,5,3,3,2,3043
9,2700000,4,1,5,3,3,2,2669
11,1280000,3,1,3,2,3,1,1448
14,600000,3,,2,2,1,1,716
21,398000,2,,2,1,3,,861
21,400000,2,,2,1,3,,861
45,750000,3,,2,1,10,1,1150
5,958000,3,1,3,,11,,1508
4,788000,4,,3,,17,2,
8,2500000,5,2,6,,4,,7000
11,1880000,3,1,4,3,3,1,2648
33,650000,1,,1,,28,1,705
33,960000,1,1,2,,10,1,850
11,850000,3,1,2,2,3,1,1400
40,450000,3,,2,2,12,2,990
27,2426000,,,,,33,,11280
43,850000,3,1,2,2,11,2,
33,820000,2,,2,1,10,1,850
33,2999000,5,1,6,4,7,2,6200
23,720000,3,1,3,1,13,2,1518
33,610000,1,,1,1,1,2,718
30,420000,3,,2,1,25,1,1200
21,2200,3,,2,,11,2,1360
30,550000,3,,2,,11,2,1400
30,530000,3,1,2,,11,2,1400
33,3080000,5,1,6,3,7,2,6200
21,510000,3,,2,2,1,1,1095
21,510000,3,,2,2,1,1,1095
30,370000,3,,2,1,25,2,1167
5,1550000,,,,,11,,2021
30,770000,3,1,4,2,3,1,1643
5,1680000,3,1,4,,11,,
5,2180000,3,1,4,,11,,2253
14,1050000,5,,4,2,36,1,3100
30,320000,3,,2,1,5,2,918
30,690000,3,,2,2,12,3,1260
4,650000,4,,3,2,11,3,1227
33,520000,1,,1,1,1,2,705
33,370000,1,,1,1,1,2,418
9,540000,3,,2,1,11,2,1421
9,2645000,5,,4,2,11,1,2357
9,620000,1,,1,1,1,2,700
4,510000,3,,2,2,11,3,990
4,298000,3,,2,1,5,2,830
4,380000,3,,2,,12,2,950
4,450000,4,,2,1,12,2,1142
4,330000,3,,2,1,10,2,950
4,287000,3,,2,1,5,2,817
4,380000,2,,2,1,12,2,1075
4,298000,3,,2,1,5,2,830
4,278000,3,,2,1,5,2,735
4,480000,3,,2,1,11,2,1250
33,480000,2,,2,1,12,2,1200
4,550000,4,,2,,11,2,1465
9,595000,3,,2,1,12,2,1300
4,349000,3,,2,1,12,2,930
4,359000,3,,2,1,11,2,1101
4,360000,3,,2,1,12,2,987
43,1180000,4,1,4,2,46,1,1346
4,625000,2,,2,2,11,,897
2,6800000,6,,5,4,9,2,6310
11,1900000,3,,3,2,1,,1573
32,360000,3,,2,1,11,,880
30,560000,3,,2,1,11,2,1205
30,835000,3,1,3,1,11,1,0
48,3500000,6,,5,3,4,,4950
30,550000,3,,2,,11,1,1205
25,690000,1,1,2,,1,2,890
46,1200000,2,,2,2,14,1,1800
16,520000,3,,2,2,3,2,1044
30,680000,3,1,4,2,12,2,1643
2,850000,2,1,3,1,11,1,1516
19,750000,3,,3,1,12,3,1237
21,1030000,9,,2,,45,2,3003
19,950000,3,1,3,1,11,,1488
27,418000,3,,2,,11,,1106
19,750000,2,1,2,,11,3,1273
19,1000000,3,1,4,2,11,,1554
19,560000,3,,2,1,11,2,1108
19,1050000,4,,3,,11,,1800
19,580000,3,,2,2,11,,1087
19,780000,3,1,4,1,11,2,1381
19,660000,2,,2,1,11,2,999
21,550000,3,1,2,2,11,2,1200
21,350000,3,,2,2,1,,1095
21,350000,3,,2,1,1,,925
19,450000,3,,2,2,11,2,1230
19,1050000,3,1,4,2,11,2,1488
22,3800000,4,1,4,2,8,2,42
26,1880000,,,4,2,19,2,3175
30,680000,3,,2,2,12,3,1168
30,780000,3,1,3,2,3,2,1262
24,1520000,2,,2,,11,1,1468
27,550000,3,,2,2,12,2,986
4,,2,,2,1,10,2,650
6,900000,3,,2,2,10,1,1102
6,1200000,3,,2,1,14,1,1313
15,290000,,,2,1,25,2,904
6,980000,3,,2,1,14,2,1146
6,1490000,3,1,5,2,14,2,1840
6,800000,2,,2,1,14,2,876
6,919000,3,,2,1,10,1,1102
30,550000,3,,2,,11,1,1205
6,820000,3,,2,1,14,1,1010
